module,java_path,java_symbol,csharp_path,csharp_symbol,kind,status,test_evidence,decision_id
graphs,graphs/src/main/java/com/softwarearchetypes/graphs/scheduling/concurrency/ExecutionEnvironments.java,ExecutionEnvironments,graphs/src/main/csharp/com/softwarearchetypes/graphs/scheduling/concurrency/ExecutionEnvironments.cs,ExecutionEnvironments,record,DONE,ConcurrencyTest 4/4 passed,D005
graphs,graphs/src/main/java/com/softwarearchetypes/graphs/influence/Reservation.java,Reservation,graphs/src/main/csharp/com/softwarearchetypes/graphs/influence/Reservation.cs,Reservation,record,DONE,Influence tests 13/13 passed,D005
graphs,graphs/src/main/java/com/softwarearchetypes/graphs/influence/PhysicsProcess.java,PhysicsProcess,graphs/src/main/csharp/com/softwarearchetypes/graphs/influence/PhysicsProcess.cs,PhysicsProcess,record,DONE,Influence tests 13/13 passed,
graphs,graphs/src/main/java/com/softwarearchetypes/graphs/influence/PhysicsInfluence.java,PhysicsInfluence,graphs/src/main/csharp/com/softwarearchetypes/graphs/influence/PhysicsInfluence.cs,PhysicsInfluence,class,DONE,Influence tests 13/13 passed,D005
graphs,graphs/src/main/java/com/softwarearchetypes/graphs/influence/PhysicsInfluence.java,PhysicsInfluence.Builder,graphs/src/main/csharp/com/softwarearchetypes/graphs/influence/PhysicsInfluence.cs,PhysicsInfluence.Builder,nested class,DONE,Influence tests 13/13 passed,D005
graphs,graphs/src/main/java/com/softwarearchetypes/graphs/influence/PhysicsInfluence.java,PhysicsInfluence.EdgeKey,graphs/src/main/csharp/com/softwarearchetypes/graphs/influence/PhysicsInfluence.cs,PhysicsInfluence.EdgeKey,nested record,DONE,Influence tests 13/13 passed,D005
graphs,graphs/src/main/java/com/softwarearchetypes/graphs/influence/LaboratoryAdjacency.java,LaboratoryAdjacency,graphs/src/main/csharp/com/softwarearchetypes/graphs/influence/LaboratoryAdjacency.cs,LaboratoryAdjacency,class,DONE,Influence tests 13/13 passed,D005
graphs,graphs/src/main/java/com/softwarearchetypes/graphs/influence/LaboratoryAdjacency.java,LaboratoryAdjacency.Builder,graphs/src/main/csharp/com/softwarearchetypes/graphs/influence/LaboratoryAdjacency.cs,LaboratoryAdjacency.Builder,nested class,DONE,Influence tests 13/13 passed,D005
graphs,graphs/src/main/java/com/softwarearchetypes/graphs/influence/Laboratory.java,Laboratory,graphs/src/main/csharp/com/softwarearchetypes/graphs/influence/Laboratory.cs,Laboratory,record,DONE,Influence tests 13/13 passed,
graphs,graphs/src/main/java/com/softwarearchetypes/graphs/influence/InfrastructureInfluence.java,InfrastructureInfluence,graphs/src/main/csharp/com/softwarearchetypes/graphs/influence/InfrastructureInfluence.cs,InfrastructureInfluence,class,DONE,Influence tests 13/13 passed,D005
graphs,graphs/src/main/java/com/softwarearchetypes/graphs/influence/InfrastructureInfluence.java,InfrastructureInfluence.Builder,graphs/src/main/csharp/com/softwarearchetypes/graphs/influence/InfrastructureInfluence.cs,InfrastructureInfluence.Builder,nested class,DONE,Influence tests 13/13 passed,D005
graphs,graphs/src/main/java/com/softwarearchetypes/graphs/influence/InfluenceZone.java,InfluenceZone,graphs/src/main/csharp/com/softwarearchetypes/graphs/influence/InfluenceZone.cs,InfluenceZone,record,DONE,Influence tests 13/13 passed,D005
graphs,graphs/src/main/java/com/softwarearchetypes/graphs/influence/InfluenceUnit.java,InfluenceUnit,graphs/src/main/csharp/com/softwarearchetypes/graphs/influence/InfluenceUnit.cs,InfluenceUnit,record,DONE,Influence tests 13/13 passed,
graphs,graphs/src/main/java/com/softwarearchetypes/graphs/influence/InfluenceMap.java,InfluenceMap,graphs/src/main/csharp/com/softwarearchetypes/graphs/influence/InfluenceMap.cs,InfluenceMap,class,DONE,Influence tests 13/13 passed,D005
graphs,graphs/src/main/java/com/softwarearchetypes/graphs/influence/InfluenceMap.java,InfluenceMap.Builder,graphs/src/main/csharp/com/softwarearchetypes/graphs/influence/InfluenceMap.cs,InfluenceMap.Builder,nested class,DONE,Influence tests 13/13 passed,D005
graphs,graphs/src/main/java/com/softwarearchetypes/graphs/influence/InfluanceAnalyzer.java,InfluanceAnalyzer,graphs/src/main/csharp/com/softwarearchetypes/graphs/influence/InfluanceAnalyzer.cs,InfluanceAnalyzer,class,DONE,Influence tests 13/13 passed,D005
graphs,graphs/src/main/java/com/softwarearchetypes/graphs/influence/BridgingReservations.java,BridgingReservations,graphs/src/main/csharp/com/softwarearchetypes/graphs/influence/BridgingReservations.cs,BridgingReservations,record,DONE,Influence tests 13/13 passed,D005
graphs,graphs/src/main/java/com/softwarearchetypes/graphs/userjourney/Condition.java,Condition,graphs/src/main/csharp/com/softwarearchetypes/graphs/userjourney/Condition.cs,Condition,record,DONE,Userjourney tests 13/13 passed,D005
graphs,graphs/src/main/java/com/softwarearchetypes/graphs/userjourney/Condition.java,Condition.ConditionType,graphs/src/main/csharp/com/softwarearchetypes/graphs/userjourney/Condition.cs,Condition.ConditionType,nested enum,DONE,Userjourney tests 13/13 passed,
graphs,graphs/src/main/java/com/softwarearchetypes/graphs/userjourney/CustomerPath.java,CustomerPath,graphs/src/main/csharp/com/softwarearchetypes/graphs/userjourney/CustomerPath.cs,CustomerPath,record,DONE,Userjourney tests 13/13 passed,D005
graphs,graphs/src/main/java/com/softwarearchetypes/graphs/userjourney/Product.java,Product,graphs/src/main/csharp/com/softwarearchetypes/graphs/userjourney/Product.cs,Product,record,DONE,Userjourney tests 13/13 passed,
graphs,graphs/src/main/java/com/softwarearchetypes/graphs/userjourney/Product.java,Product.ProductType,graphs/src/main/csharp/com/softwarearchetypes/graphs/userjourney/Product.cs,Product.ProductType,nested enum,DONE,Userjourney tests 13/13 passed,
graphs,graphs/src/main/java/com/softwarearchetypes/graphs/userjourney/UserJourneyId.java,UserJourneyId,graphs/src/main/csharp/com/softwarearchetypes/graphs/userjourney/UserJourneyId.cs,UserJourneyId,record,DONE,Userjourney tests 13/13 passed,
graphs,graphs/src/main/java/com/softwarearchetypes/graphs/userjourney/UserJourney.java,UserJourney,graphs/src/main/csharp/com/softwarearchetypes/graphs/userjourney/UserJourney.cs,UserJourney,class,DONE,Userjourney tests 13/13 passed,D005
graphs,graphs/src/main/java/com/softwarearchetypes/graphs/userjourney/UserJourney.java,Builder,graphs/src/main/csharp/com/softwarearchetypes/graphs/userjourney/UserJourney.cs,Builder,class,DONE,Userjourney tests 13/13 passed,D005
graphs,graphs/src/main/java/com/softwarearchetypes/graphs/userjourney/UserJourney.java,TransitionBuilder,graphs/src/main/csharp/com/softwarearchetypes/graphs/userjourney/UserJourney.cs,TransitionBuilder,class,DONE,Userjourney tests 13/13 passed,D005
graphs,graphs/src/main/java/com/softwarearchetypes/graphs/userjourney/UserJourney.java,TransitionWithCondition,graphs/src/main/csharp/com/softwarearchetypes/graphs/userjourney/UserJourney.cs,TransitionWithCondition,class,DONE,Userjourney tests 13/13 passed,D005
graphs,graphs/src/main/java/com/softwarearchetypes/graphs/userjourney/State.java,State,graphs/src/main/csharp/com/softwarearchetypes/graphs/userjourney/State.cs,State,record,DONE,Userjourney tests 13/13 passed,
graphs,N/A local graph primitive,DirectedGraph<T>,graphs/src/main/csharp/com/softwarearchetypes/graphs/influence/PhysicsInfluence.cs,DirectedGraph<T>,implementation class,DONE,Influence tests 13/13 passed,D005
graphs,N/A local graph primitive,DirectedEdge<T>,graphs/src/main/csharp/com/softwarearchetypes/graphs/influence/PhysicsInfluence.cs,DirectedEdge<T>,implementation record,DONE,Influence tests 13/13 passed,D005
graphs,N/A local graph primitive,JourneyGraph,graphs/src/main/csharp/com/softwarearchetypes/graphs/userjourney/UserJourney.cs,JourneyGraph,implementation class,DONE,Userjourney tests 13/13 passed,D005
graphs,N/A local graph primitive,JourneyEdge,graphs/src/main/csharp/com/softwarearchetypes/graphs/userjourney/UserJourney.cs,JourneyEdge,implementation record,DONE,Userjourney tests 13/13 passed,D005
graphs,graphs/src/test/java/com/softwarearchetypes/graphs/cycles/math/GraphIntersectionTest.java,GraphIntersectionTest,graphs/src/test/csharp/com/softwarearchetypes/graphs/cycles/math/GraphIntersectionTest.cs,GraphIntersectionTest,test,DONE,5/5 passed,D005
graphs,graphs/src/test/java/com/softwarearchetypes/graphs/cycles/EligibilityTest.java,EligibilityTest,graphs/src/test/csharp/com/softwarearchetypes/graphs/cycles/EligibilityTest.cs,EligibilityTest,test,DONE,5/5 passed,
graphs,graphs/src/test/java/com/softwarearchetypes/graphs/cycles/BatchReservationUseCaseTest.java,BatchReservationUseCaseTest,graphs/src/test/csharp/com/softwarearchetypes/graphs/cycles/BatchReservationUseCaseTest.cs,BatchReservationUseCaseTest,test,DONE,4/4 passed,
graphs,graphs/src/test/java/com/softwarearchetypes/graphs/cycles/BatchReservationEligibilityUseCaseTest.java,BatchReservationEligibilityUseCaseTest,graphs/src/test/csharp/com/softwarearchetypes/graphs/cycles/BatchReservationEligibilityUseCaseTest.cs,BatchReservationEligibilityUseCaseTest,test,DONE,5/5 passed,
graphs,graphs/src/test/java/com/softwarearchetypes/graphs/scheduling/Fixtures.java,Fixtures,graphs/src/test/csharp/com/softwarearchetypes/graphs/scheduling/Fixtures.cs,Fixtures,test helper,DONE,ScheduleTest 5/5 passed,
graphs,graphs/src/test/java/com/softwarearchetypes/graphs/scheduling/ScheduleTest.java,ScheduleTest,graphs/src/test/csharp/com/softwarearchetypes/graphs/scheduling/ScheduleTest.cs,ScheduleTest,test,DONE,5/5 passed,D005
graphs,N/A local test helper,ReadOnlyListExtensions,graphs/src/test/csharp/com/softwarearchetypes/graphs/scheduling/ScheduleTest.cs,ReadOnlyListExtensions,test helper,DONE,ScheduleTest 5/5 passed,
graphs,graphs/src/test/java/com/softwarearchetypes/graphs/scheduling/concurrency/ConcurrencyTest.java,ConcurrencyTest,graphs/src/test/csharp/com/softwarearchetypes/graphs/scheduling/concurrency/ConcurrencyTest.cs,ConcurrencyTest,test,DONE,4/4 passed,D005
graphs,graphs/src/test/java/com/softwarearchetypes/graphs/influence/Fixtures.java,Fixtures,graphs/src/test/csharp/com/softwarearchetypes/graphs/influence/Fixtures.cs,Fixtures,test helper,DONE,Influence tests 13/13 passed,
graphs,graphs/src/test/java/com/softwarearchetypes/graphs/influence/InfluenceMapAssert.java,InfluenceMapAssert,graphs/src/test/csharp/com/softwarearchetypes/graphs/influence/InfluenceMapAssert.cs,InfluenceMapAssert,test helper,DONE,InfluenceMapTest 3/3 passed,
graphs,graphs/src/test/java/com/softwarearchetypes/graphs/influence/InfluenceMapTest.java,InfluenceMapTest,graphs/src/test/csharp/com/softwarearchetypes/graphs/influence/InfluenceMapTest.cs,InfluenceMapTest,test,DONE,3/3 passed,D005
graphs,graphs/src/test/java/com/softwarearchetypes/graphs/influence/InfluenceAnalyzerTest.java,InfluenceAnalyzerTest,graphs/src/test/csharp/com/softwarearchetypes/graphs/influence/InfluenceAnalyzerTest.cs,InfluenceAnalyzerTest,test,DONE,5/5 passed,D005
graphs,graphs/src/test/java/com/softwarearchetypes/graphs/influence/BridgingReservationsAnalyzerTest.java,BridgingReservationsAnalyzerTest,graphs/src/test/csharp/com/softwarearchetypes/graphs/influence/BridgingReservationsAnalyzerTest.cs,BridgingReservationsAnalyzerTest,test,DONE,5/5 passed,D005
graphs,graphs/src/test/java/com/softwarearchetypes/graphs/userjourney/WeightedPathsTest.java,WeightedPathsTest,graphs/src/test/csharp/com/softwarearchetypes/graphs/userjourney/WeightedPathsTest.cs,WeightedPathsTest,test,DONE,3/3 passed,D005
graphs,graphs/src/test/java/com/softwarearchetypes/graphs/userjourney/WaysToAchieveTest.java,WaysToAchieveTest,graphs/src/test/csharp/com/softwarearchetypes/graphs/userjourney/WaysToAchieveTest.cs,WaysToAchieveTest,test,DONE,5/5 passed,D005
graphs,graphs/src/test/java/com/softwarearchetypes/graphs/userjourney/OnFulfilledTest.java,OnFulfilledTest,graphs/src/test/csharp/com/softwarearchetypes/graphs/userjourney/OnFulfilledTest.cs,OnFulfilledTest,test,DONE,5/5 passed,D005
